Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Achanta,56,SATYANARAYANA PITHANI,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,CHERUKUVADA SRI RANGANADHA RAJU,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",26554,14/14,Result Declared
Addanki,105,GOTTIPATI RAVI KUMAR,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,CHINNA HANIMIREDDY PANEM,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",24890,22/22,Result Declared
Adoni,146,DR. PARTHA SARATHI VALMIKI,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:8Trailing In:0,Y. SAI PRASAD REDDY,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",18164,19/19,Result Declared
Allagadda,134,AKHILA PRIYA BHUMA,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,BRIJENDRA REDDY GANGULA (NANI),"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",12037,22/22,Result Declared
Alur,147,B. VIRUPAKSHI,Yuvajana Sramika Rythu Congress PartyiParty Wise State TrendsLeading In:0Won In:11Trailing In:0,B. VEERABHADRA GOWD,"Telugu Desam
iParty Wise State TrendsLeading In:0Won In:135Trailing In:0",2831,21/21,Result Declared
Amadalavalasa,6,KOONA RAVI KUMAR,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,THAMMINENI SEETARAM,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",35032,19/19,Result Declared
Amalapuram,44,AITHABATHULA ANANDARAO,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,VISWARUPU PINIPE,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",38628,17/17,Result Declared
Anakapalle,30,KONATHALA RAMAKRISHNA,Janasena PartyiParty Wise State TrendsLeading In:0Won In:21Trailing In:0,BHARATH KUMAR MALASALA,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",65764,19/19,Result Declared
Anantapur Urban,153,DAGGUPATI PRASAD,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,ANANTHA VENKATARAMI REDDY,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",23023,21/21,Result Declared
Anaparthy,40,RAMAKRISHNA REDDY NALLAMILLI,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:8Trailing In:0,DOCTOR.SATHI SURYANARAYANA REDDY,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",20850,17/17,Result Declared
Araku Valley,28,REGAM MATYALINGAM,Yuvajana Sramika Rythu Congress PartyiParty Wise State TrendsLeading In:0Won In:11Trailing In:0,RAJARAO PANGI,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:8Trailing In:0",31877,23/23,Result Declared
Atmakur,115,ANAM.RAMANARAYANA REDDY,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,MEKAPATI VIKRAM REDDY,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",7576,22/22,Result Declared
Avanigadda,76,BUDDHAPRASAD MANDALI,Janasena PartyiParty Wise State TrendsLeading In:0Won In:21Trailing In:0,RAMESH BABU SIMHADRI,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",46434,21/21,Result Declared
Badvel,124,DASARI SUDHA,Yuvajana Sramika Rythu Congress PartyiParty Wise State TrendsLeading In:0Won In:11Trailing In:0,BOJJA ROSHANNA,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:8Trailing In:0",18567,20/20,Result Declared
Banaganapalle,140,B.C. JANARDHAN REDDY,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,KATASANI RAMI REDDY,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",25566,24/24,Result Declared
Bapatla,92,VEGESANA NARENDRA VARMA RAJU,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,KONA RAGHUPATHI,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",27768,15/15,Result Declared
Bhimavaram,59,RAMANJANEYULU PULAPARTHI (ANJIBABU),Janasena PartyiParty Wise State TrendsLeading In:0Won In:21Trailing In:0,GRANDHI SRINIVAS,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",66974,17/17,Result Declared
Bhimili,20,GANTA SRINIVASA RAO,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,MUTTAMSETTI SRINIVASA RAO (AVANTHI SRINIVAS),"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",92401,26/26,Result Declared
Bobbili,14,R.V.S.K.K.RANGA RAO @ BABYNAYANA,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,VENKATA CHINA APPALA NAIDU SAMBANGI,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",44648,19/19,Result Declared
Chandragiri,166,VENKATA MANI PRASAD PULLIVARTHI,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,CHEVIREDDY MOHITH REDDY,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",43852,20/20,Result Declared
Cheepurupalle,15,KALAVENKATARAO KIMIDI,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,BOTCHA SATYANARAYANA,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",11971,20/20,Result Declared
Chilakaluripet,96,PRATHIPATI PULLARAO,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,KAVATI SIVA NAGA MANOHAR NAIDU,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",33262,18/18,Result Declared
Chintalapudi,68,ROSHAN KUMAR SONGA,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,KAMBHAM VIJAYA RAJU,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",27766,20/20,Result Declared
Chirala,106,MADDULURI MALA KONDAIAH,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,KARANAM VENKATESH,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",20984,16/16,Result Declared
Chittoor,172,GURAJALA JAGAN MOHAN (GJM),Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,M.C. VIJAYANANDA REDDY,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",14604,17/17,Result Declared
