Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Along (East),31,KENTO JINI,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:46Trailing In:0,JARKAR GAMLIN,"People's Party of Arunachal
iParty Wise State TrendsLeading In:0Won In:2Trailing In:0",3158,4/4,Result Declared
Along (West),30,TOPIN ETE,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:46Trailing In:0,NYAMO ETE,"National People's Party
iParty Wise State TrendsLeading In:0Won In:5Trailing In:0",1951,4/4,Result Declared
Anini,41,MOPI MIHU,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:46Trailing In:0,ERI TAYU,"Independent
iParty Wise State TrendsLeading In:0Won In:3Trailing In:0",1173,5/5,Result Declared
Bameng,8,KUMAR WAII,Indian National CongressiParty Wise State TrendsLeading In:0Won In:1Trailing In:0,DOBA LAMNIO,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:46Trailing In:0",635,4/4,Result Declared
Basar,29,NYABI JINI DIRCHI,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:46Trailing In:0,GOKAR BASAR,"National People's Party
iParty Wise State TrendsLeading In:0Won In:5Trailing In:0",1791,5/5,Result Declared
Bomdila,7,DONGRU SIONGJU,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:46Trailing In:0,,Party Wise State TrendsLeading In:0Won In:0Trailing In:0,-,-,Uncontested
Bordumsa-Diyun,49,NIKH KAMIN,Nationalist Congress PartyiParty Wise State TrendsLeading In:0Won In:3Trailing In:0,SOMLUNG MOSSANG,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:46Trailing In:0",1352,5/5,Result Declared
Borduria-Bogapani,57,WANGLIN LOWANGDONG,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:46Trailing In:0,JOWANG HOSAI,"Nationalist Congress Party
iParty Wise State TrendsLeading In:0Won In:3Trailing In:0",1452,3/3,Result Declared
Changlang(North),53,TESAM PONGTE,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:46Trailing In:0,DIHOM KITNYA,"National People's Party
iParty Wise State TrendsLeading In:0Won In:5Trailing In:0",2002,6/6,Result Declared
Changlang(South),52,HAMJONG TANGHA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:46Trailing In:0,TIMPU NGEMU,"National People's Party
iParty Wise State TrendsLeading In:0Won In:5Trailing In:0",1482,6/6,Result Declared
Chayangtajo,9,HAYENG MANGFI,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:46Trailing In:0,KOMPU DOLO,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",6685,4/4,Result Declared
Chowkham,46,CHOWNA MEIN,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:46Trailing In:0,,Party Wise State TrendsLeading In:0Won In:0Trailing In:0,-,-,Uncontested
Dambuk,42,PUINNYO APUM,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:46Trailing In:0,RAJU TAYENG,"People's Party of Arunachal
iParty Wise State TrendsLeading In:0Won In:2Trailing In:0",222,4/4,Result Declared
Daporijo,24,TANIYA SOKI,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:46Trailing In:0,DIKTO YEKAR,"National People's Party
iParty Wise State TrendsLeading In:0Won In:5Trailing In:0",228,4/4,Result Declared
Dirang,4,PHURPA TSERING,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:46Trailing In:0,YESHI TSEWANG,"National People's Party
iParty Wise State TrendsLeading In:0Won In:5Trailing In:0",1202,6/6,Result Declared
Doimukh,14,NABAM VIVEK,People's Party of ArunachaliParty Wise State TrendsLeading In:0Won In:2Trailing In:0,TANA HALI TARA,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:46Trailing In:0",2530,3/3,Result Declared
Dumporijo,26,RODE BUI,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:46Trailing In:0,TABE DONI,"National People's Party
iParty Wise State TrendsLeading In:0Won In:5Trailing In:0",1591,4/4,Result Declared
