Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Anandapur,22,ABHIMANYU SETHI,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,JAYADEV JENA,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:14Trailing In:0",10966,25/25,Result Declared
Angul,61,PRATAP CHANDRA PRADHAN,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,SANJUKTA SINGH,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",17433,21/21,Result Declared
Aska,128,SAROJ KUMAR PADHI,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,MANJULA SWAIN,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",8059,15/15,Result Declared
Athagarh,89,RANENDRA PRATAP SWAIN,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,ABHAYA KUMAR BARIK,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",3584,19/19,Result Declared
Athamallik,63,NALINI KANTA PRADHAN,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,SANJEEB KUMAR SAHOO,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",16153,21/21,Result Declared
Attabira,4,NIHAR RANJAN MAHANAND,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,SNEHANGINI CHHURIA,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",28910,19/19,Result Declared
Aul,98,PRATAP KESHARI DEB,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,DEBASMITA SHARMA,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:14Trailing In:0",19628,32/32,Result Declared
Badasahi,32,SANATAN BIJULI,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,ANASUYA PATRA,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",37387,20/20,Result Declared
Balasore,38,MANAS KUMAR DUTTA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,SWARUP KUMAR DAS,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",28626,18/18,Result Declared
Baliguda,82,CHAKRAMANI KANHAR,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,UPENDRA PRADHAN,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:14Trailing In:0",1671,19/19,Result Declared
Balikuda-Erasama,103,SARADA PRASANNA JENA,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,SATYA SARATHI MOHANTY,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",25959,18/18,Result Declared
Bangriposi,29,SANJALI MURMU,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,RANJITA MARNDI,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",34476,26/26,Result Declared
Banki,88,DEVI RANJAN TRIPATHY,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,TUSARA KANTA CHAKRABARTY,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",17026,18/18,Result Declared
Barabati-Cuttack,90,SOFIA FIRDOUS,Indian National CongressiParty Wise State TrendsLeading In:0Won In:14Trailing In:0,PURNA CHANDRA MAHAPATRA,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",8001,18/18,Result Declared
Barachana,50,AMAR KUMAR NAYAK,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,VARSHA PRIYADARSHINI,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",6310,19/19,Result Declared
Baramba,87,BIJAYA KUMAR DALABEHERA,IndependentiParty Wise State TrendsLeading In:0Won In:3Trailing In:0,DEBIPRASAD MISHRA,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",23479,22/22,Result Declared
Bargarh,3,ASHWINI KUMAR SARANGI,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,DEBESH ACHARYA,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",4772,17/17,Result Declared
Bari,49,BISWA RANJAN MALLICK,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,UMESH CHANDRA JENA,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",51465,19/19,Result Declared
Baripada,33,PRAKASH SOREN,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,SANANDA MARNDI,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",29385,27/27,Result Declared
Basta,37,SUBASINI JENA,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,BIJAN NAYAK,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:14Trailing In:0",20377,26/26,Result Declared
Basudevpur,45,ASHOK KUMAR DAS,Indian National CongressiParty Wise State TrendsLeading In:0Won In:14Trailing In:0,BISHNUBRATA ROUTRAY,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",631,21/21,Result Declared
