Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
ARITHANG,26,ARUN KUMAR UPRETI,Sikkim Krantikari MorchaiParty Wise State TrendsLeading In:0Won In:31Trailing In:0,ASHIS RAI,"Sikkim Democratic Front
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",2729,3/3,Result Declared
BARFUNG,9,RIKSHAL DORJEE BHUTIA,Sikkim Krantikari MorchaiParty Wise State TrendsLeading In:0Won In:31Trailing In:0,BHAICHUNG BHUTIA,"Sikkim Democratic Front
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",4346,3/3,Result Declared
CHUJACHEN,20,PURAN KR. GURUNG,Sikkim Krantikari MorchaiParty Wise State TrendsLeading In:0Won In:31Trailing In:0,MANI KUMAR GURUNG,"Sikkim Democratic Front
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",3334,4/4,Result Declared
DARAMDIN,6,MINGMA NORBU SHERPA,Sikkim Krantikari MorchaiParty Wise State TrendsLeading In:0Won In:31Trailing In:0,PEM NORBU SHERPA,"Sikkim Democratic Front
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",5975,3/3,Result Declared
DJONGU,30,PINTSO NAMGYAL LEPCHA,Sikkim Krantikari MorchaiParty Wise State TrendsLeading In:0Won In:31Trailing In:0,SONAM GYATSO LEPCHA,"Sikkim Democratic Front
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",5007,5/5,Result Declared
GANGTOK,27,DELAY NAMGYAL BARFUNGPA,Sikkim Krantikari MorchaiParty Wise State TrendsLeading In:0Won In:31Trailing In:0,PINTSO CHOPEL LEPCHA,"Sikkim Democratic Front
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",2692,3/3,Result Declared
GNATHANG-MACHONG,21,PAMIN LEPCHA,Sikkim Krantikari MorchaiParty Wise State TrendsLeading In:0Won In:31Trailing In:0,TSHERING WANGDI LEPCHA,"Sikkim Democratic Front
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",3807,3/3,Result Declared
GYALSHING-BARNYAK,4,LOK NATH SHARMA,Sikkim Krantikari MorchaiParty Wise State TrendsLeading In:0Won In:31Trailing In:0,KHUSANDRA PRASAD SHARMA,"Independent
iParty Wise State TrendsLeading In:0Won In:0Trailing In:0",963,3/3,Result Declared
KABI LUNGCHUK,29,THENLAY TSHERING BHUTIA,Sikkim Krantikari MorchaiParty Wise State TrendsLeading In:0Won In:31Trailing In:0,GNAWO CHOPEL LEPCHA,"Sikkim Democratic Front
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",1693,4/4,Result Declared
KHAMDONG-SINGTAM,17,NAR BAHADUR DAHAL,Sikkim Krantikari MorchaiParty Wise State TrendsLeading In:0Won In:31Trailing In:0,MANI KUMAR SHARMA,"Sikkim Democratic Front
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",1739,3/3,Result Declared
LACHEN MANGAN,31,SAMDUP LEPCHA,Sikkim Krantikari MorchaiParty Wise State TrendsLeading In:0Won In:31Trailing In:0,HISHEY LACHUNGPA,"Sikkim Democratic Front
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",851,3/3,Result Declared
MANEYBONG-DENTAM,3,SUDESH KUMAR SUBBA,Sikkim Krantikari MorchaiParty Wise State TrendsLeading In:0Won In:31Trailing In:0,TIKA RAM CHETTRI,"Sikkim Democratic Front
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",6039,3/3,Result Declared
MARTAM-RUMTEK,24,SONAM TSH. VENCHUNGPA,Sikkim Krantikari MorchaiParty Wise State TrendsLeading In:0Won In:31Trailing In:0,MECHUNG BHUTIA,"Sikkim Democratic Front
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",2762,4/4,Result Declared
MELLI,12,NAR BAHADUR PRADHAN,Sikkim Krantikari MorchaiParty Wise State TrendsLeading In:0Won In:31Trailing In:0,GANESH KUMAR RAI,"Citizen Action Party-Sikkim
iParty Wise State TrendsLeading In:0Won In:0Trailing In:0",4283,3/3,Result Declared
NAMCHEYBUNG,22,RAJU BASNET,Sikkim Krantikari MorchaiParty Wise State TrendsLeading In:0Won In:31Trailing In:0,PAWAN KUMAR CHAMLING,"Sikkim Democratic Front
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",2256,4/4,Result Declared
NAMCHI-SINGHITHANG,11,KRISHNA KUMARI RAI,Sikkim Krantikari MorchaiParty Wise State TrendsLeading In:0Won In:31Trailing In:0,BIMAL RAI,"Sikkim Democratic Front
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",5302,3/3,Result Declared
NAMTHANG-RATEYPANI,13,SANJEET KHAREL,Sikkim Krantikari MorchaiParty Wise State TrendsLeading In:0Won In:31Trailing In:0,SUMAN PRADHAN,"Sikkim Democratic Front
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",5605,3/3,Result Declared
POKLOK-KAMRANG,10,BHOJ RAJ RAI,Sikkim Krantikari MorchaiParty Wise State TrendsLeading In:0Won In:31Trailing In:0,PAWAN KUMAR CHAMLING,"Sikkim Democratic Front
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",3063,3/3,Result Declared
RANGANG-YANGANG,15,RAJ KUMARI THAPA,Sikkim Krantikari MorchaiParty Wise State TrendsLeading In:0Won In:31Trailing In:0,MANI KUMAR SUBBA,"Sikkim Democratic Front
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",1201,3/3,Result Declared
RHENOCK,19,P S TAMANG,Sikkim Krantikari MorchaiParty Wise State TrendsLeading In:0Won In:31Trailing In:0,SOM NATH POUDYAL,"Sikkim Democratic Front
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",7044,4/4,Result Declared
RINCHENPONG,5,ERUNG TENZING LEPCHA,Sikkim Krantikari MorchaiParty Wise State TrendsLeading In:0Won In:31Trailing In:0,NORDEN BHUTIA,"Sikkim Democratic Front
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",6400,3/3,Result Declared
SALGHARI-ZOOM,8,MADAN CINTURY,Sikkim Krantikari MorchaiParty Wise State TrendsLeading In:0Won In:31Trailing In:0,JANGA BIR DARNAL,"Sikkim Democratic Front
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",2712,2/2,Result Declared
SANGHA,32,SONAM LAMA,Sikkim Krantikari MorchaiParty Wise State TrendsLeading In:0Won In:31Trailing In:0,TSETEN TASHI BHUTIA,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:0Trailing In:0",865,3/3,Result Declared
SHYARI,23,TENZING NORBU LAMTHA,Sikkim Democratic FrontiParty Wise State TrendsLeading In:0Won In:1Trailing In:0,KUNGA NIMA LEPCHA,"Sikkim Krantikari Morcha
iParty Wise State TrendsLeading In:0Won In:31Trailing In:0",1314,3/3,Result Declared
SORENG-CHAKUNG,7,P S TAMANG,Sikkim Krantikari MorchaiParty Wise State TrendsLeading In:0Won In:31Trailing In:0,DR. A D SUBBA,"Sikkim Democratic Front
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",7396,3/3,Result Declared
